,Compound no.,SMILES,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio
21,22,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC([C@@H]3CCCN3C(C)=O)=O)=O)C=CC=C2C(O)=O)C(N(C)C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
22,23,O=C1N[C@H](CSCC2=C(C(OC[C@H]1NC(C)=O)=O)C=CC=C2)C(N(C)C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
23,24,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC(CNC(C)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
24,25,O=C(N[C@@H]1COC(C2=C(C=CC=C2)CSC[C@H](C(N(C)C)=O)NC1=O)=O)[C@@H]3CCN3C(C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
25,26,O=C(N[C@@H]1COC(C2=C(C=CC=C2)CSC[C@H](C(N(C)C)=O)NC1=O)=O)[C@@H]3CCCCN3C(C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
26,27,O=C(N[C@@H]1COC(C2=C(C=CC=C2)CSC[C@H](C(N(C)C)=O)NC1=O)=O)[C@@H]3CSCN3C(C)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
27,28,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4CC4)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
28,29,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
29,30,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C(F)(F)F)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
30,31,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(OC)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
31,32,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(COC)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
32,33,O=C1N[C@@H](C(N(C)C)=O)CSCC(C=CC=C2)=C2C(OC[C@H]1NC([C@@H]3CCCN3C(C4=CC=CC=C4)=O)=O)=O,12,1,0,1,C1=CCSCCNCCCOC1,CC1CSCc2ccccc2C(=O)OCCC(=O)N1,0.25,0.25
