ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Ring_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-4885,90,    ,CC1=C2[C@@H]3CC[C@@H](CC3)OCC3[C@H](CCCN3C(=O)COC2=NC=C1)N[S@@](=O)(=O)C1CCOC1,Cc1ccnc2c1[C@H]1CC[C@H](CC1)OCC1[C@@H](NS(=O)(=O)C3CCOC3)CCCN1C(=O)CO2,48,    ,ER,48.0,ER,48,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,6,1,1.89312,493.626,7,1,34,24,0.75,115.44,3,0,0,7.108801359,ROEBCRAHDKGDCO-LWUIHUKISA-N
MC-4886,91,    ,O=S(N[C@H]1CCCN2C1CO[C@H]3CC[C@@H](C4=CC=CN=C4OCC2=O)CC3)(C(F)(F)F)=O,O=C1COc2ncccc2[C@H]2CC[C@H](CC2)OCC2[C@@H](NS(=O)(=O)C(F)(F)F)CCCN12,47,    ,ER,47.0,ER,47,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,2.3156,477.505,6,1,32,20,0.7,106.21,2,0,0,6.641185712,GZRMFYZYCFKKOV-IINVVDAPSA-N
MC-4869,92,    ,CC1=C2[C@@H]3CC[C@@H](CC3)OCC3[C@H](CCN3C(=O)COC2=NC=C1)NS(=O)(=O)C1CC1,Cc1ccnc2c1[C@H]1CC[C@H](CC1)OCC1[C@@H](NS(=O)(=O)C3CC3)CCN1C(=O)CO2,18,    ,ER,18.0,ER,18,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,6,1,1.87652,449.573,6,1,31,22,0.727272727,106.21,3,0,0,5.684244235,XTVZVMDGQPGQIL-GKMDZDJDSA-N
MC-4887,93,    ,CC(C)S(=O)(=O)N[C@H]1CCN2C1CO[C@H]1CC[C@H](CC1)C1=C(C)C=CN=C1OCC2=O,Cc1ccnc2c1[C@H]1CC[C@H](CC1)OCC1[C@@H](NS(=O)(=O)C(C)C)CCN1C(=O)CO2,11,    ,ER,11.0,ER,11,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,2.12252,451.589,6,1,31,22,0.727272727,106.21,3,0,0,6.552591449,AZXOBBVFQGJDES-TUVJXNFZSA-N
MC-4888,94,    ,CC1=C2[C@@H]3CC[C@@H](CC3)OCC3[C@H](CCN3C(=O)COC2=NC=C1)NS(C)(=O)=O,Cc1ccnc2c1[C@H]1CC[C@H](CC1)OCC1[C@@H](NS(C)(=O)=O)CCN1C(=O)CO2,4.7,    ,ER,4.7,ER,4.7,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,1.34392,423.535,6,1,29,20,0.7,106.21,2,0,0,5.811279539,BSATUOXETBWQTB-TVXGVJEUSA-N
MC-4889,95,    ,CS(=O)(=O)N[C@H]1CCCN2C1CO[C@H]1CC[C@H](CC1)C1=C(F)C=CC=C1OCC2=O,CS(=O)(=O)N[C@H]1CCCN2C(=O)COc3cccc(F)c3[C@H]3CC[C@H](CC3)OCC12,15,    ,ER,15.0,ER,15,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,2.1697,440.537,5,1,30,21,0.666666667,93.32,2,0,0,6.314194914,IJMLYSZNAISQDK-HZSIZEEPSA-N
MC-4890,96,    ,CS(=O)(=O)N[C@H]1CCCN2C1CO[C@H]1CC[C@H](CC1)C1=CC(=CC=C1OCC2=O)O,CS(=O)(=O)N[C@H]1CCCN2C(=O)COc3ccc(O)cc3[C@H]3CC[C@H](CC3)OCC12,9.2,    ,ER,9.2,ER,9.2,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,1.7362,438.546,6,2,30,21,0.666666667,113.55,2,0,0,6.220849198,QPOADWPXEGEUKA-YCTBNTEPSA-N
MC-4891,97,    ,O=C1COC2=NC=NC=C2[C@@H]2CC[C@@H](CC2)OCC2[C@H](CCCN12)NS(=O)(=O)C1CC1,O=C1COc2ncncc2[C@H]2CC[C@H](CC2)OCC2[C@@H](NS(=O)(=O)C3CC3)CCCN12,44,    ,ER,44.0,ER,44,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,1,0.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.230769231,0.230769231,6,1,1.3532,450.561,7,1,31,21,0.761904762,119.1,3,0,0,5.870611119,YBWJQVQOGKFTIN-QILHDJAHSA-N
MC-4892,98,    ,O=S(N[C@H]1CCCN2C1CO[C@H]3CC[C@@H](C4=NC=CN=C4OCC2=O)CC3)(C(F)(F)F)=O,O=C1COc2nccnc2[C@H]2CC[C@H](CC2)OCC2[C@@H](NS(=O)(=O)C(F)(F)F)CCCN12,57,    ,ER,57.0,ER,57,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,1.7106,478.493,7,1,32,19,0.736842105,119.1,2,0,0,6.591445467,QPUWSBDVEWPDMY-MBOZISHXSA-N
MC-4893,99,    ,CC1=C2[C@@H]3CC[C@H](OCC4[C@@H](NS(=O)(C(F)(F)F)=O)CCCN4C(COC2=NC=N1)=O)CC3,Cc1ncnc2c1[C@H]1CC[C@H](CC1)OCC1[C@@H](NS(=O)(=O)C(F)(F)F)CCCN1C(=O)CO2,52,    ,ER,52.0,ER,52,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,2.01902,492.52,7,1,33,20,0.75,119.1,2,0,0,6.831157504,VKVUXCFREHSCJT-QGPPMGRFSA-N
MC-4894,100,    ,O=S(N[C@H]1CCN2C1CO[C@H]3CC[C@@H](C4=CC=CC=C4OCC2=O)CC3)(C(F)(F)F)=O,O=C1COc2ccccc2[C@H]2CC[C@H](CC2)OCC2[C@@H](NS(=O)(=O)C(F)(F)F)CCN12,1.3,    ,ER,1.3,ER,1.3,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,2.5305,462.49,5,1,31,20,0.65,93.32,2,0,0,6.192168016,GKDKJQLEVOZVEO-IINVVDAPSA-N
MC-4895,101,    ,CC(C)S(=O)(=O)N[C@H]1CCN2C1CO[C@H]1CC[C@H](CC1)C1=CC=CN=C1OCC2=O,CC(C)S(=O)(=O)N[C@H]1CCN2C(=O)COc3ncccc3[C@H]3CC[C@H](CC3)OCC12,14,    ,ER,14.0,ER,14,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,1.8141,437.562,6,1,30,21,0.714285714,106.21,3,0,0,6.314194914,DSKBNPSYWIUOQF-GKMDZDJDSA-N
MC-4896,102,    ,[2H]C1=C(O)C(=C2[C@@H]3CC[C@@H](CC3)OCC3[C@H](CCCN3C(=O)COC2=C1[2H])NS(C)(=O)=O)[2H],[2H]c1c([2H])c2c(c([2H])c1O)[C@H]1CC[C@H](CC1)OCC1[C@@H](NS(C)(=O)=O)CCCN1C(=O)CO2,24,    ,ER,24.0,ER,24,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,1.7362,441.5643053,6,2,30,21,0.666666667,113.55,2,0,0,5.176173769,QPOADWPXEGEUKA-JYGRWXGWSA-N
MC-4897,103,    ,C[C@@H]1C[C@H](NS(C)(=O)=O)C2CO[C@H]3CC[C@H](CC3)C3=CC=CC=C3OCC(=O)N12,C[C@@H]1C[C@H](NS(C)(=O)=O)C2CO[C@H]3CC[C@H](CC3)c3ccccc3OCC(=O)N21,28,    ,ER,28.0,ER,28,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,2.029,422.547,5,1,29,21,0.666666667,93.32,2,0,0,5.860075145,TXFGISQWCDZEPI-VCDGUJLRSA-N
MC-4898,104,    ,CS(=O)(=O)N[C@H]1CCCN2C1CO[C@H]1CC[C@H](CC1)C1=CC=C(O)N=C1OCC2=O,CS(=O)(=O)N[C@H]1CCCN2C(=O)COc3nc(O)ccc3[C@H]3CC[C@H](CC3)OCC12,5.9,    ,ER,5.9,ER,5.9,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,0,1.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.0,0.230769231,5,1,1.1312,439.534,7,2,30,20,0.7,126.44,2,0,0,6.170932521,IDJSVBFWRRFCNQ-IINVVDAPSA-N
MC-4899,105,    ,O=C1COC2=CC=CC=C2[C@@H]2CC[C@@H](CC2)OCC2[C@H](CCN12)NS(=O)(=O)C1CC1,O=C1COc2ccccc2[C@H]2CC[C@H](CC2)OCC2[C@@H](NS(=O)(=O)C3CC3)CCN12,100,    ,ER,100.0,ER,100,MDCK,MDCK-MDR1,https://patentimages.storage.googleapis.com/e9/e0/f0/a572694cdc2d34/US20240368182A1.pdf,Patents,US20240368182A1,"(Pennington et al., 2024)",2024,13,1,0.0,1.0,C1CCCOCCNCCOCC1,O=C1COccCCCCOCCN1,0.230769231,0.230769231,6,1,2.1731,434.558,5,1,30,22,0.681818182,93.32,3,0,0,5.493314359,AOZGGCWVEGEIJU-VCRNDEPESA-N
