ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Ring_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-5037,15a,,COc1cc2cc(OC)c1OCCOCCOC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,COc1cc2cc(OC)c1OCCOCCOC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,10.83 ± 0.57,10^-6 cm/s,Papp BA,-4.965371543,Log Papp BA,10.83,Others,hiPSC BBBTime: 60 min incubation; Direction: Basolateral to Apical (B->A),https://pubs.acs.org/doi/10.1021/acs.jmedchem.5c00958,Journals,10.1021/acs.jmedchem.5c00958,"(Brudy et al., 2025)",2025,16,0,1.0,1.0,C1=CCCNCCOCCOCCOC=C1,O=C1CC=CC=COCCOCCOC(=O)CN1,0.0,0.1875,5,1,3.4823,475.582,7,0,34,26,0.773530621,83.53,3,0,0,8.53491397,NQZNSLUZVXLYAD-UHFFFAOYSA-N
MC-5039,15a,,COc1cc2cc(OC)c1OCCOCCOC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,COc1cc2cc(OC)c1OCCOCCOC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,12.35 ± 1.51,10^-6 cm/s,Papp BA,-4.908333042,Log Papp BA,12.35,Others,hiPSC BBBTime: +60 min incubation; Direction: Basolateral to Apical (B->A),https://pubs.acs.org/doi/10.1021/acs.jmedchem.5c00958,Journals,10.1021/acs.jmedchem.5c00958,"(Brudy et al., 2025)",2025,16,0,1.0,1.0,C1=CCCNCCOCCOCCOC=C1,O=C1CC=CC=COCCOCCOC(=O)CN1,0.0,0.1875,5,1,3.4823,475.582,7,0,34,26,0.772635815,83.53,3,0,0,8.53491397,NQZNSLUZVXLYAD-UHFFFAOYSA-N
MC-5043,29a,,COc1cc2cc(OC)c1OCCOC[C@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,COc1cc2cc(OC)c1OCCOC[C@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,11.18 ± 0.78,10^-6 cm/s,Papp BA,-4.951558196,Log Papp BA,11.18,Others,hiPSC BBBTime: 60 min incubation; Direction: Basolateral to Apical (B->A),https://pubs.acs.org/doi/10.1021/acs.jmedchem.5c00958,Journals,10.1021/acs.jmedchem.5c00958,"(Brudy et al., 2025)",2025,16,0,1.0,1.0,C1=CCCNCCOCCOCCOC=C1,CC1COCCOC=CC=CCC(=O)NCC(=O)O1,0.0,0.1875,5,1,3.8708,489.609,7,0,35,27,0.771307366,83.53,3,0,0,8.759977513,WCYCYZCHLRIZQO-UHFFFAOYSA-N
MC-5045,29a,,COc1cc2cc(OC)c1OCCOC[C@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,COc1cc2cc(OC)c1OCCOC[C@H](C)OC(=O)[C@@H]1CCCCN1C(=O)[C@H]2C1CCCCC1,11.91 ± 1.60,10^-6 cm/s,Papp BA,-4.924088239,Log Papp BA,11.91,Others,hiPSC BBBTime: +60 min incubation; Direction: Basolateral to Apical (B->A),https://pubs.acs.org/doi/10.1021/acs.jmedchem.5c00958,Journals,10.1021/acs.jmedchem.5c00958,"(Brudy et al., 2025)",2025,16,0,1.0,1.0,C1=CCCNCCOCCOCCOC=C1,CC1COCCOC=CC=CCC(=O)NCC(=O)O1,0.0,0.1875,5,1,3.8708,489.609,7,0,35,27,0.770683793,83.53,3,0,0,8.759977513,WCYCYZCHLRIZQO-UHFFFAOYSA-N
