ID,Endpoint,Assay,Value,Unit,Standardized_Value,Peptidic_Type,Source
MC-0201,Log Pe,PAMPA,-6.886,,-6.886,Non,10.1021/acs.jmedchem.1c02090
MC-0202,Log Pe,PAMPA,-5.438,,-5.438,Non,10.1021/acs.jmedchem.1c02090
MC-0203,Log Pe,PAMPA,-5.785,,-5.785,Non,10.1021/acs.jmedchem.1c02090
MC-0204,Log Pe,PAMPA,-6.721,,-6.721,Non,10.1021/acs.jmedchem.1c02090
MC-0205,Log Pe,PAMPA,-5.391,,-5.391,Non,10.1021/acs.jmedchem.1c02090
MC-0206,Log Pe,PAMPA,-6.959,,-6.959,Non,10.1021/acs.jmedchem.1c02090
MC-0207,Log Pe,PAMPA,-6.62,,-6.62,Non,10.1021/acs.jmedchem.1c02090
MC-0208,Log Pe,PAMPA,-5.971,,-5.971,Non,10.1021/acs.jmedchem.1c02090
MC-0209,Log Pe,PAMPA,-5.66,,-5.66,Non,10.1021/acs.jmedchem.1c02090
MC-0210,Log Pe,PAMPA,-5.79,,-5.79,Non,10.1021/acs.jmedchem.1c02090
MC-0211,Log Pe,PAMPA,-7.155,,-7.155,Non,10.1021/acs.jmedchem.1c02090
MC-0212,Log Pe,PAMPA,-5.321,,-5.321,Non,10.1021/acs.jmedchem.1c02090
MC-0213,Log Pe,PAMPA,-5.424,,-5.424,Non,10.1021/acs.jmedchem.1c02090
MC-0214,Log Pe,PAMPA,-5.029,,-5.029,Semi,10.1021/acs.jmedchem.1c02090
MC-0215,Log Pe,PAMPA,-5.845,,-5.845,Non,10.1021/acs.jmedchem.1c02090
MC-0216,Log Pe,PAMPA,-5.442,,-5.442,Non,10.1021/acs.jmedchem.1c02090
MC-0217,Log Pe,PAMPA,-5.197,,-5.197,Non,10.1021/acs.jmedchem.1c02090
MC-0218,Log Pe,PAMPA,-5.928,,-5.928,Non,10.1021/acs.jmedchem.1c02090
MC-0219,Log Pe,PAMPA,-6.469,,-6.469,Non,10.1021/acs.jmedchem.1c02090
MC-0220,Log Pe,PAMPA,-6.051,,-6.051,Non,10.1021/acs.jmedchem.1c02090
MC-0221,Log Pe,PAMPA,-6.119,,-6.119,Non,10.1021/acs.jmedchem.1c02090
MC-0222,Log Pe,PAMPA,-7.155,,-7.155,Non,10.1021/acs.jmedchem.1c02090
MC-0223,Log Pe,PAMPA,-5.262,,-5.262,Non,10.1021/acs.jmedchem.1c02090
MC-0224,Log Pe,PAMPA,-5.428,,-5.428,Non,10.1021/acs.jmedchem.1c02090
MC-0225,Log Pe,PAMPA,-5.939,,-5.939,Non,10.1021/acs.jmedchem.1c02090
MC-0226,Log Pe,PAMPA,-7.097,,-7.097,Semi,10.1021/acs.jmedchem.1c02090
MC-0227,Log Pe,PAMPA,-6.824,,-6.824,Semi,10.1021/acs.jmedchem.1c02090
MC-0228,Log Pe,PAMPA,-5.599,,-5.599,Non,10.1021/acs.jmedchem.1c02090
MC-0229,Log Pe,PAMPA,-5.399,,-5.399,Non,10.1021/acs.jmedchem.1c02090
MC-0230,Log Pe,PAMPA,-5.548,,-5.548,Non,10.1021/acs.jmedchem.1c02090
MC-0231,Log Pe,PAMPA,-6.77,,-6.77,Non,10.1021/acs.jmedchem.1c02090
MC-0232,Log Pe,PAMPA,-6.114,,-6.114,Non,10.1021/acs.jmedchem.1c02090
MC-0233,Log Pe,PAMPA,-5.573,,-5.573,Non,10.1021/acs.jmedchem.1c02090
MC-0234,Log Pe,PAMPA,-5.376,,-5.376,Non,10.1021/acs.jmedchem.1c02090
MC-0235,Log Pe,PAMPA,-5.9,,-5.9,Non,10.1021/acs.jmedchem.1c02090
MC-0236,Log Pe,PAMPA,-5.16,,-5.16,Non,10.1021/acs.jmedchem.1c02090
MC-0237,Log Pe,PAMPA,-5.654,,-5.654,Non,10.1021/acs.jmedchem.1c02090
MC-0238,Log Pe,PAMPA,-6.77,,-6.77,Non,10.1021/acs.jmedchem.1c02090
MC-0239,Log Pe,PAMPA,-6.284,,-6.284,Non,10.1021/acs.jmedchem.1c02090
MC-0240,Log Pe,PAMPA,-5.376,,-5.376,Non,10.1021/acs.jmedchem.1c02090
MC-0241,Log Pe,PAMPA,-5.699,,-5.699,Non,10.1021/acs.jmedchem.1c02090
MC-0242,Log Pe,PAMPA,-5.385,,-5.385,Non,10.1021/acs.jmedchem.1c02090
MC-0243,Log Pe,PAMPA,-5.81,,-5.81,Non,10.1021/acs.jmedchem.1c02090
MC-0244,Log Pe,PAMPA,-5.533,,-5.533,Non,10.1021/acs.jmedchem.1c02090
MC-0245,Log Pe,PAMPA,-5.818,,-5.818,Non,10.1021/acs.jmedchem.1c02090
MC-0246,Log Pe,PAMPA,-5.788,,-5.788,Non,10.1021/acs.jmedchem.1c02090
MC-0247,Log Pe,PAMPA,-7,,-7,Non,10.1021/acs.jmedchem.1c02090
MC-0248,Log Pe,PAMPA,-6.959,,-6.959,Non,10.1021/acs.jmedchem.1c02090
MC-0249,Log Pe,PAMPA,-5.261,,-5.261,Non,10.1021/acs.jmedchem.1c02090
MC-0250,Log Pe,PAMPA,-5.27,,-5.27,Non,10.1021/acs.jmedchem.1c02090
MC-0251,Log Pe,PAMPA,-6.585,,-6.585,Non,10.1021/acs.jmedchem.1c02090
MC-0252,Log Pe,PAMPA,-5.463,,-5.463,Non,10.1021/acs.jmedchem.1c02090
MC-0253,Log Pe,PAMPA,-6.854,,-6.854,Non,10.1021/acs.jmedchem.1c02090
MC-0254,Log Pe,PAMPA,-5.48,,-5.48,Non,10.1021/acs.jmedchem.1c02090
MC-0255,Log Pe,PAMPA,-6.377,,-6.377,Non,10.1021/acs.jmedchem.1c02090
MC-0256,Log Pe,PAMPA,-5.111,,-5.111,Non,10.1021/acs.jmedchem.1c02090
MC-0257,Log Pe,PAMPA,-5.503,,-5.503,Non,10.1021/acs.jmedchem.1c02090
MC-0258,Log Pe,PAMPA,-7.222,,-7.222,Semi,10.1021/acs.jmedchem.1c02090
MC-0259,Log Pe,PAMPA,-6.658,,-6.658,Non,10.1021/acs.jmedchem.1c02090
MC-0260,Log Pe,PAMPA,-6.444,,-6.444,Non,10.1021/acs.jmedchem.1c02090
MC-0261,Log Pe,PAMPA,-6.959,,-6.959,Non,10.1021/acs.jmedchem.1c02090
MC-0262,Log Pe,PAMPA,-6.699,,-6.699,Non,10.1021/acs.jmedchem.1c02090
MC-0263,Log Pe,PAMPA,-5.058,,-5.058,Non,10.1021/acs.jmedchem.1c02090
MC-0264,Log Pe,PAMPA,-7.097,,-7.097,Non,10.1021/acs.jmedchem.1c02090
MC-0265,Log Pe,PAMPA,-7.301,,-7.301,Non,10.1021/acs.jmedchem.1c02090
MC-0266,Log Pe,PAMPA,-4.919,,-4.919,Semi,10.1021/acs.jmedchem.1c02090
MC-0267,Log Pe,PAMPA,-5.441,,-5.441,Non,10.1021/acs.jmedchem.1c02090
MC-0268,Log Pe,PAMPA,-6.357,,-6.357,Non,10.1021/acs.jmedchem.1c02090
MC-0269,Log Pe,PAMPA,-7.046,,-7.046,Semi,10.1021/acs.jmedchem.1c02090
MC-0270,Log Pe,PAMPA,-5.565,,-5.565,Non,10.1021/acs.jmedchem.1c02090
MC-0271,Log Pe,PAMPA,-5.575,,-5.575,Non,10.1021/acs.jmedchem.1c02090
MC-0272,Log Pe,PAMPA,-6.319,,-6.319,Semi,10.1021/acs.jmedchem.1c02090
MC-0273,Log Pe,PAMPA,-5.827,,-5.827,Non,10.1021/acs.jmedchem.1c02090
MC-0274,Log Pe,PAMPA,-6.337,,-6.337,Non,10.1021/acs.jmedchem.1c02090
MC-0275,Log Pe,PAMPA,-6.387,,-6.387,Non,10.1021/acs.jmedchem.1c02090
MC-0276,Log Pe,PAMPA,-6.678,,-6.678,Non,10.1021/acs.jmedchem.1c02090
MC-0277,Log Pe,PAMPA,-6.26,,-6.26,Non,10.1021/acs.jmedchem.1c02090
MC-0278,Log Pe,PAMPA,-6.125,,-6.125,Non,10.1021/acs.jmedchem.1c02090
MC-0279,Log Pe,PAMPA,-5.382,,-5.382,Non,10.1021/acs.jmedchem.1c02090
MC-0280,Log Pe,PAMPA,-6.658,,-6.658,Non,10.1021/acs.jmedchem.1c02090
MC-0281,Log Pe,PAMPA,-6.886,,-6.886,Non,10.1021/acs.jmedchem.1c02090
MC-0282,Log Pe,PAMPA,-6.194,,-6.194,Non,10.1021/acs.jmedchem.1c02090
MC-0283,Log Pe,PAMPA,-6.161,,-6.161,Non,10.1021/acs.jmedchem.1c02090
MC-0284,Log Pe,PAMPA,-4.995,,-4.995,Non,10.1021/acs.jmedchem.1c02090
MC-0285,Log Pe,PAMPA,-6.62,,-6.62,Non,10.1021/acs.jmedchem.1c02090
MC-0286,Log Pe,PAMPA,-6.77,,-6.77,Non,10.1021/acs.jmedchem.1c02090
MC-0287,Log Pe,PAMPA,-5.6,,-5.6,Non,10.1021/acs.jmedchem.1c02090
MC-0288,Log Pe,PAMPA,-6.42,,-6.42,Non,10.1021/acs.jmedchem.1c02090
MC-0289,Log Pe,PAMPA,-6.201,,-6.201,Non,10.1021/acs.jmedchem.1c02090
MC-0290,Log Pe,PAMPA,-7.097,,-7.097,Non,10.1021/acs.jmedchem.1c02090
MC-0291,Log Pe,PAMPA,-6.569,,-6.569,Non,10.1021/acs.jmedchem.1c02090
MC-0292,Log Pe,PAMPA,-6.481,,-6.481,Non,10.1021/acs.jmedchem.1c02090
MC-0293,Log Pe,PAMPA,-6.658,,-6.658,Non,10.1021/acs.jmedchem.1c02090
MC-0294,Log Pe,PAMPA,-5.393,,-5.393,Non,10.1021/acs.jmedchem.1c02090
MC-0295,Log Pe,PAMPA,-5.387,,-5.387,Non,10.1021/acs.jmedchem.1c02090
MC-0296,Log Pe,PAMPA,-5.472,,-5.472,Non,10.1021/acs.jmedchem.1c02090
MC-0297,Log Pe,PAMPA,-5.425,,-5.425,Non,10.1021/acs.jmedchem.1c02090
MC-0298,Log Pe,PAMPA,-5.487,,-5.487,Non,10.1021/acs.jmedchem.1c02090
MC-0299,Log Pe,PAMPA,-5.701,,-5.701,Non,10.1021/acs.jmedchem.1c02090
MC-0300,Log Pe,PAMPA,-6.824,,-6.824,Non,10.1021/acs.jmedchem.1c02090
MC-0301,Log Pe,PAMPA,-5.432,,-5.432,Non,10.1021/acs.jmedchem.1c02090
MC-0302,Log Pe,PAMPA,-6.149,,-6.149,Non,10.1021/acs.jmedchem.1c02090
MC-0303,Log Pe,PAMPA,-5.625,,-5.625,Non,10.1021/acs.jmedchem.1c02090
MC-0304,Log Pe,PAMPA,-5.485,,-5.485,Non,10.1021/acs.jmedchem.1c02090
MC-0305,Log Pe,PAMPA,-6.509,,-6.509,Non,10.1021/acs.jmedchem.1c02090
MC-0306,Log Pe,PAMPA,-6.26,,-6.26,Non,10.1021/acs.jmedchem.1c02090
MC-0307,Log Pe,PAMPA,-6.432,,-6.432,Non,10.1021/acs.jmedchem.1c02090
MC-0308,Log Pe,PAMPA,-5.442,,-5.442,Non,10.1021/acs.jmedchem.1c02090
MC-0309,Log Pe,PAMPA,-6.602,,-6.602,Non,10.1021/acs.jmedchem.1c02090
MC-0310,Log Pe,PAMPA,-5.943,,-5.943,Non,10.1021/acs.jmedchem.1c02090
MC-0311,Log Pe,PAMPA,-5.517,,-5.517,Non,10.1021/acs.jmedchem.1c02090
