ID,Macrocycle_Free_Amide_Ratio,Peptidic_Type
MC-0342,0,Non
MC-0343,0,Non
MC-0344,0,Non
MC-0345,0,Non
MC-0346,0,Non
MC-0347,0.154,Non
MC-0348,0.154,Non
MC-0349,0,Non
MC-0350,0,Non
MC-0351,0,Non
MC-0352,0,Non
MC-0353,0.429,Semi
MC-0354,0,Non
MC-0355,0.267,Non
MC-0356,0,Non
MC-0357,0,Non
MC-0358,0,Non
MC-0359,0,Non
MC-0360,0.154,Non
MC-0361,0,Non
MC-0362,0,Non
MC-0363,0,Non
MC-0364,0,Non
MC-0365,0.154,Non
MC-0366,0.286,Non
MC-0367,0,Non
MC-0368,0,Non
MC-0369,0,Non
MC-0370,0,Non
MC-0371,0,Non
MC-0372,0,Non
MC-0373,0,Non
MC-0374,0.154,Non
MC-0375,0.286,Non
MC-0376,0,Non
MC-0377,0,Non
MC-0378,0,Non
MC-0379,0,Non
MC-0380,0,Non
MC-0381,0,Non
MC-0382,0,Non
MC-0383,0,Non
MC-0384,0.143,Non
MC-0385,0,Non
MC-0386,0.286,Non
MC-0387,0.286,Non
MC-0388,0,Non
MC-0389,0.167,Non
MC-0390,0,Non
MC-0391,0.333,Semi
MC-0392,0,Non
MC-0393,0,Non
MC-0394,0,Non
MC-0395,0,Non
MC-0396,0,Non
MC-0397,0,Non
MC-0398,0,Non
MC-0399,0,Non
MC-0400,0,Non
MC-0401,0.267,Non
MC-0402,0,Non
MC-0403,0,Non
MC-0404,0.286,Non
MC-0405,0,Non
MC-0406,0,Non
MC-0407,0,Non
MC-0408,0.154,Non
MC-0409,0,Non
MC-0410,0,Non
MC-0411,0,Non
MC-0412,0,Non
MC-0413,0,Non
MC-0414,0,Non
MC-0415,0.267,Non
MC-0416,0,Non
MC-0417,0,Non
MC-0418,0,Non
MC-0419,0,Non
MC-0420,0,Non
MC-0421,0,Non
MC-0422,0,Non
MC-0423,0,Non
MC-0424,0.286,Non
MC-0425,0.4,Semi
MC-0426,0,Non
MC-0427,0,Non
MC-0428,0,Non
MC-0429,0,Non
MC-0430,0.267,Non
MC-0431,0,Non
MC-0432,0.133,Non
MC-0433,0,Non
MC-0434,0,Non
MC-0435,0,Non
MC-0436,0,Non
MC-0437,0.154,Non
MC-0438,0,Non
MC-0439,0,Non
MC-0440,0,Non
MC-0441,0,Non
MC-0442,0.308,Semi
MC-0443,0,Non
MC-0444,0,Non
MC-0445,0,Non
MC-0446,0.154,Non
MC-0447,0,Non
MC-0448,0,Non
MC-0449,0,Non
MC-0450,0.429,Semi
MC-0451,0.286,Non
MC-0452,0,Non
MC-0453,0,Non
MC-0454,0,Non
MC-0455,0,Non
MC-0456,0.429,Semi
MC-0457,0,Non
MC-0458,0.286,Non
MC-0459,0,Non
MC-0460,0,Non
MC-0461,0,Non
MC-0462,0,Non
MC-0463,0,Non
MC-0464,0,Non
MC-0465,0,Non
MC-0466,0,Non
MC-0467,0.133,Non
MC-0468,0,Non
MC-0469,0,Non
MC-0470,0,Non
MC-0471,0,Non
MC-0472,0.267,Non
MC-0473,0.286,Non
MC-0474,0,Non
MC-0475,0.267,Non
MC-0476,0,Non
MC-0477,0.286,Non
MC-0478,0,Non
MC-0479,0.267,Non
MC-0480,0,Non
MC-0481,0,Non
MC-0482,0,Non
MC-0483,0,Non
MC-0484,0,Non
MC-0485,0,Non
MC-0486,0.308,Semi
MC-0487,0,Non
MC-0488,0,Non
MC-0489,0.353,Semi
MC-0490,0,Non
MC-0491,0.167,Non
MC-0492,0,Non
MC-0493,0,Non
MC-0494,0.154,Non
MC-0495,0,Non
MC-0496,0.286,Non
MC-0497,0,Non
MC-0498,0,Non
MC-0499,0,Non
MC-0500,0,Non
MC-0501,0.286,Non
MC-0502,0,Non
MC-0503,0,Non
MC-0504,0,Non
MC-0505,0.286,Non
MC-0506,0,Non
MC-0507,0.286,Non
MC-0508,0,Non
MC-0509,0.286,Non
MC-0510,0,Non
MC-0511,0.286,Non
MC-0512,0,Non
MC-0513,0,Non
MC-0514,0,Non
MC-0515,0,Non
MC-0516,0,Non
MC-0517,0,Non
MC-0518,0.267,Non
MC-0519,0,Non
MC-0520,0.133,Non
MC-0521,0.267,Non
MC-0522,0,Non
MC-0523,0.286,Non
MC-0524,0,Non
MC-0525,0,Non
MC-0526,0,Non
MC-0527,0,Non
MC-0528,0,Non
MC-0529,0.308,Semi
MC-0530,0,Non
MC-0531,0,Non
MC-0532,0,Non
MC-0533,0,Non
MC-0534,0,Non
MC-0535,0,Non
MC-0536,0,Non
MC-0537,0,Non
MC-0538,0,Non
MC-0539,0,Non
MC-0540,0.4,Semi
MC-0541,0,Non
MC-0542,0.267,Non
MC-0543,0,Non
MC-0544,0,Non
MC-0545,0,Non
MC-0546,0.333,Semi
MC-0547,0,Non
MC-0548,0,Non
MC-0549,0,Non
MC-0550,0,Non
MC-0551,0.308,Semi
MC-0552,0,Non
MC-0553,0.267,Non
MC-0554,0,Non
MC-0555,0.286,Non
MC-0556,0,Non
MC-0557,0,Non
MC-0558,0,Non
MC-0559,0,Non
MC-0560,0,Non
MC-0561,0,Non
MC-0562,0,Non
MC-0563,0,Non
MC-0564,0.308,Semi
MC-0565,0,Non
MC-0566,0.308,Semi
MC-0567,0,Non
MC-0568,0,Non
MC-0569,0,Non
MC-0570,0.308,Semi
MC-0571,0.4,Semi
MC-0572,0,Non
MC-0573,0.471,Semi
MC-0574,0,Non
MC-0575,0.267,Non
MC-0576,0,Non
MC-0577,0,Non
MC-0578,0,Non
MC-0579,0,Non
MC-0580,0,Non
MC-0581,0,Non
MC-0582,0,Non
MC-0583,0,Non
MC-0584,0,Non
MC-0585,0,Non
MC-0586,0.154,Non
MC-0587,0,Non
MC-0588,0,Non
MC-0589,0,Non
MC-0590,0,Non
MC-0591,0,Non
MC-0592,0,Non
MC-0593,0,Non
MC-0594,0,Non
MC-0595,0.267,Non
MC-0596,0,Non
MC-0597,0.167,Non
MC-0598,0,Non
MC-0599,0,Non
MC-0600,0,Non
MC-0601,0,Non
MC-0602,0,Non
MC-0603,0,Non
MC-0604,0,Non
MC-0605,0,Non
MC-0606,0,Non
MC-0607,0,Non
MC-0608,0,Non
MC-0609,0,Non
MC-0610,0.154,Non
MC-0611,0,Non
MC-0612,0,Non
MC-0613,0,Non
MC-0614,0,Non
MC-0615,0,Non
MC-0616,0,Non
MC-0617,0.286,Non
MC-0618,0,Non
MC-0619,0,Non
MC-0620,0.267,Non
MC-0621,0,Non
MC-0622,0,Non
MC-0623,0,Non
MC-0624,0,Non
MC-0625,0,Non
MC-0626,0.308,Semi
MC-0627,0,Non
MC-0628,0,Non
MC-0629,0,Non
MC-0630,0,Non
MC-0631,0,Non
MC-0632,0,Non
MC-0633,0.154,Non
MC-0634,0,Non
MC-0635,0,Non
MC-0636,0,Non
MC-0637,0,Non
MC-0638,0,Non
MC-0639,0,Non
MC-0640,0,Non
MC-0641,0,Non
MC-0642,0.308,Semi
MC-0643,0,Non
MC-0644,0.154,Non
MC-0645,0,Non
MC-0646,0,Non
MC-0647,0,Non
MC-0648,0,Non
MC-0649,0.308,Semi
MC-0650,0,Non
MC-0651,0,Non
MC-0652,0.267,Non
MC-0653,0,Non
MC-0654,0,Non
MC-0655,0.154,Non
MC-0656,0.167,Non
MC-0657,0.308,Semi
MC-0658,0,Non
MC-0659,0,Non
MC-0660,0,Non
MC-0661,0,Non
MC-0662,0,Non
MC-0663,0,Non
MC-0664,0,Non
MC-0665,0,Non
MC-0666,0.143,Non
MC-0667,0,Non
MC-0668,0.333,Semi
MC-0669,0,Non
MC-0670,0,Non
MC-0671,0,Non
MC-0672,0,Non
MC-0673,0,Non
MC-0674,0.308,Semi
MC-0675,0,Non
MC-0676,0.308,Semi
MC-0677,0,Non
MC-0678,0,Non
MC-0679,0,Non
MC-0680,0,Non
MC-0681,0,Non
MC-0682,0,Non
MC-0683,0,Non
MC-0684,0,Non
MC-0685,0,Non
MC-0686,0,Non
MC-0687,0,Non
MC-0688,0,Non
MC-0689,0,Non
MC-0690,0,Non
MC-0691,0.308,Semi
MC-0692,0,Non
MC-0693,0.167,Non
MC-0694,0,Non
MC-0695,0.222,Non
MC-0696,0,Non
MC-0697,0,Non
MC-0698,0,Non
MC-0699,0.133,Non
MC-0700,0,Non
MC-0701,0,Non
MC-0702,0,Non
MC-0703,0,Non
MC-0704,0,Non
MC-0705,0,Non
MC-0706,0,Non
MC-0707,0,Non
MC-0708,0.167,Non
MC-0709,0.167,Non
MC-0710,0,Non
MC-0711,0,Non
MC-0712,0,Non
MC-0713,0,Non
MC-0714,0,Non
MC-0715,0,Non
MC-0716,0,Non
MC-0717,0,Non
MC-0718,0.429,Semi
MC-0719,0,Non
MC-0720,0,Non
MC-0721,0,Non
MC-0722,0,Non
MC-0723,0,Non
MC-0724,0,Non
MC-0725,0.133,Non
MC-0726,0,Non
MC-0727,0,Non
MC-0728,0,Non
MC-0729,0,Non
MC-0730,0.154,Non
MC-0731,0,Non
MC-0732,0,Non
MC-0733,0,Non
MC-0734,0,Non
MC-0735,0,Non
MC-0736,0,Non
MC-0737,0,Non
MC-0738,0,Non
MC-0739,0,Non
MC-0740,0.133,Non
MC-0741,0,Non
MC-0742,0,Non
MC-0743,0,Non
MC-0744,0.167,Non
MC-0745,0,Non
MC-0746,0,Non
MC-0747,0,Non
MC-0748,0,Non
MC-0749,0.154,Non
MC-0750,0,Non
MC-0751,0,Non
MC-0752,0,Non
MC-0753,0,Non
MC-0754,0,Non
MC-0755,0,Non
MC-0756,0.267,Non
MC-0757,0.267,Non
MC-0758,0,Non
MC-0759,0,Non
MC-0760,0,Non
MC-0761,0,Non
MC-0762,0,Non
MC-0763,0.133,Non
MC-0764,0,Non
MC-0765,0.154,Non
MC-0766,0,Non
MC-0767,0,Non
MC-0768,0,Non
MC-0769,0,Non
MC-0770,0.133,Non
MC-0771,0,Non
MC-0772,0,Non
MC-0773,0,Non
MC-0774,0,Non
MC-0775,0,Non
MC-0776,0,Non
MC-0777,0,Non
MC-0778,0,Non
MC-0779,0.133,Non
MC-0780,0,Non
MC-0781,0.143,Non
MC-0782,0.267,Non
MC-0783,0,Non
MC-0784,0,Non
MC-0785,0.133,Non
MC-0786,0,Non
MC-0787,0,Non
MC-0788,0,Non
MC-0789,0.154,Non
MC-0790,0,Non
MC-0791,0,Non
MC-0792,0,Non
MC-0793,0,Non
MC-0794,0,Non
MC-0795,0,Non
MC-0796,0,Non
MC-0797,0,Non
MC-0798,0,Non
MC-0799,0,Non
MC-0800,0.222,Non
MC-0801,0,Non
MC-0802,0,Non
MC-0803,0,Non
MC-0804,0,Non
MC-0805,0,Non
MC-0806,0.444,Semi
MC-0807,0,Non
MC-0808,0,Non
MC-0809,0,Non
MC-0810,0,Non
MC-0811,0,Non
MC-0812,0.308,Semi
MC-0813,0,Non
MC-0814,0.429,Semi
MC-0815,0,Non
MC-0816,0,Non
MC-0817,0,Non
MC-0818,0,Non
MC-0819,0,Non
MC-0820,0,Non
MC-0821,0,Non
MC-0822,0,Non
MC-0823,0,Non
MC-0824,0,Non
MC-0825,0,Non
MC-0826,0,Non
MC-0827,0.133,Non
MC-0828,0.286,Non
MC-0829,0,Non
MC-0830,0,Non
MC-0831,0.429,Semi
MC-0832,0,Non
MC-0833,0,Non
MC-0834,0.154,Non
MC-0835,0,Non
MC-0836,0,Non
MC-0837,0,Non
MC-0838,0,Non
MC-0839,0,Non
MC-0840,0.308,Semi
MC-0841,0.308,Semi
MC-0842,0,Non
MC-0843,0,Non
MC-0844,0,Non
MC-0845,0,Non
MC-0846,0,Non
MC-0847,0,Non
MC-0848,0,Non
MC-0849,0.286,Non
MC-0850,0,Non
MC-0851,0,Non
MC-0852,0,Non
MC-0853,0,Non
MC-0854,0,Non
MC-0855,0,Non
MC-0856,0,Non
MC-0857,0,Non
MC-0858,0.154,Non
MC-0859,0,Non
MC-0860,0,Non
MC-0861,0,Non
MC-0862,0,Non
MC-0863,0,Non
MC-0864,0,Non
MC-0865,0,Non
MC-0866,0,Non
MC-0867,0,Non
MC-0868,0.133,Non
MC-0869,0,Non
MC-0870,0,Non
MC-0871,0.133,Non
MC-0872,0.286,Non
MC-0873,0,Non
MC-0874,0.167,Non
MC-0875,0.167,Non
MC-0876,0.154,Non
MC-0877,0,Non
MC-0878,0,Non
MC-0879,0,Non
MC-0880,0,Non
MC-0881,0,Non
MC-0882,0,Non
MC-0883,0,Non
MC-0884,0.133,Non
MC-0885,0,Non
MC-0886,0.154,Non
MC-0887,0,Non
MC-0888,0,Non
MC-0889,0,Non
MC-0890,0.154,Non
MC-0891,0,Non
MC-0892,0,Non
MC-0893,0,Non
MC-0894,0,Non
MC-0895,0.267,Non
MC-0896,0.444,Semi
MC-0897,0,Non
MC-0898,0,Non
MC-0899,0,Non
MC-0900,0,Non
MC-0901,0,Non
MC-0902,0,Non
MC-0903,0,Non
MC-0904,0,Non
MC-0905,0,Non
MC-0906,0,Non
MC-0907,0,Non
MC-0908,0,Non
MC-0909,0,Non
MC-0910,0,Non
MC-0911,0,Non
MC-0912,0,Non
MC-0913,0,Non
MC-0914,0,Non
MC-0915,0.133,Non
MC-0916,0,Non
MC-0917,0,Non
MC-0918,0.308,Semi
MC-0919,0.154,Non
MC-0920,0.143,Non
MC-0921,0,Non
MC-0922,0,Non
MC-0923,0,Non
MC-0924,0,Non
MC-0925,0,Non
MC-0926,0,Non
MC-0927,0,Non
MC-0928,0,Non
MC-0929,0,Non
MC-0930,0,Non
MC-0931,0,Non
MC-0932,0.267,Non
MC-0933,0,Non
MC-0934,0.267,Non
MC-0935,0,Non
MC-0936,0,Non
MC-0937,0,Non
MC-0938,0.267,Non
MC-0939,0,Non
MC-0940,0.286,Non
MC-0941,0.308,Semi
MC-0942,0,Non
MC-0943,0,Non
MC-0944,0,Non
MC-0945,0,Non
MC-0946,0,Non
MC-0947,0.222,Non
MC-0948,0.222,Non
MC-0949,0.267,Non
MC-0950,0.143,Non
MC-0951,0.286,Non
MC-0952,0,Non
MC-0953,0,Non
MC-0954,0,Non
MC-0955,0,Non
MC-0956,0,Non
MC-0957,0,Non
MC-0958,0,Non
MC-0959,0,Non
MC-0960,0,Non
MC-0961,0,Non
MC-0962,0,Non
MC-0963,0,Non
MC-0964,0,Non
MC-0965,0,Non
MC-0966,0,Non
MC-0967,0.154,Non
MC-0968,0,Non
MC-0969,0.143,Non
MC-0970,0.167,Non
MC-0971,0.154,Non
MC-0972,0,Non
MC-0973,0,Non
MC-0974,0,Non
MC-0975,0,Non
MC-0976,0,Non
MC-0977,0,Non
MC-0978,0,Non
MC-0979,0.154,Non
MC-0980,0.143,Non
MC-0981,0,Non
MC-0982,0.267,Non
MC-0983,0.143,Non
MC-0984,0,Non
MC-0985,0,Non
MC-0986,0.154,Non
MC-0987,0.267,Non
MC-0988,0.143,Non
MC-0989,0.286,Non
MC-0990,0.429,Semi
MC-0991,0.267,Non
MC-0992,0.154,Non
MC-0993,0.2,Non
MC-0994,0.154,Non
MC-0995,0.154,Non
MC-0996,0.267,Non
MC-0997,0.286,Non
MC-0998,0.143,Non
MC-0999,0,Non
MC-1000,0,Non
MC-1001,0.267,Non
MC-1002,0,Non
MC-1003,0.167,Non
MC-1004,0.267,Non
MC-1005,0.429,Semi
MC-1006,0,Non
MC-1007,0,Non
MC-1008,0.286,Non
MC-1009,0.154,Non
MC-1010,0.429,Semi
MC-1011,0,Non
MC-1012,0,Non
MC-1013,0.286,Non
MC-1014,0.154,Non
MC-1015,0,Non
MC-1016,0.286,Non
MC-1017,0,Non
MC-1018,0.154,Non
MC-1019,0.267,Non
MC-1020,0.143,Non
MC-1021,0.154,Non
MC-1022,0.154,Non
MC-1023,0,Non
MC-1024,0.167,Non
MC-1025,0.154,Non
MC-1026,0.267,Non
MC-1027,0,Non
MC-1028,0,Non
MC-1029,0.286,Non
MC-1030,0.4,Semi
MC-1031,0,Non
MC-1032,0,Non
MC-1033,0,Non
MC-1034,0,Non
MC-1035,0,Non
MC-1036,0.143,Non
MC-1037,0.267,Non
MC-1038,0.267,Non
MC-1039,0,Non
MC-1040,0.154,Non
MC-1041,0.286,Non
MC-1042,0.286,Non
MC-1043,0,Non
MC-1044,0.167,Non
MC-1045,0.167,Non
MC-1046,0.167,Non
MC-1047,0,Non
MC-1048,0.286,Non
MC-1049,0.286,Non
MC-1050,0.154,Non
MC-1051,0,Non
MC-1052,0.154,Non
MC-1053,0,Non
MC-1054,0.133,Non
MC-1055,0.286,Non
MC-1056,0.133,Non
MC-1057,0.154,Non
MC-1058,0.154,Non
MC-1059,0,Non
MC-1060,0,Non
MC-1061,0,Non
MC-1062,0.267,Non
MC-1063,0,Non
MC-1064,0.267,Non
MC-1065,0,Non
MC-1066,0.167,Non
MC-1067,0.267,Non
MC-1068,0.235,Non
MC-1069,0.133,Non
MC-1070,0,Non
MC-1071,0.154,Non
MC-1072,0,Non
MC-1073,0,Non
MC-1074,0,Non
MC-1075,0.286,Non
MC-1076,0,Non
MC-1077,0,Non
MC-1078,0,Non
MC-1079,0,Non
MC-1080,0.154,Non
MC-1081,0,Non
MC-1082,0,Non
MC-1083,0.267,Non
MC-1084,0.286,Non
MC-1085,0.4,Semi
MC-1086,0.267,Non
MC-1087,0.267,Non
MC-1088,0,Non
MC-1089,0,Non
MC-1090,0.286,Non
MC-1091,0.154,Non
MC-1092,0.154,Non
MC-1093,0,Non
MC-1094,0,Non
MC-1095,0.286,Non
MC-1096,0,Non
MC-1097,0,Non
MC-1098,0.154,Non
MC-1099,0.286,Non
MC-1100,0,Non
MC-1101,0,Non
MC-1102,0.4,Semi
MC-1103,0,Non
MC-1104,0.286,Non
MC-1105,0,Non
MC-1106,0,Non
MC-1107,0.286,Non
MC-1108,0.286,Non
MC-1109,0,Non
MC-1110,0.154,Non
MC-1111,0.267,Non
MC-1112,0.286,Non
MC-1113,0.143,Non
MC-1114,0.286,Non
MC-1115,0.154,Non
MC-1116,0,Non
MC-1117,0,Non
MC-1118,0.267,Non
MC-1119,0,Non
MC-1120,0.4,Semi
MC-1121,0.267,Non
MC-1122,0.154,Non
MC-1123,0,Non
MC-1124,0.267,Non
MC-1125,0,Non
MC-1126,0.167,Non
MC-1127,0.267,Non
MC-1128,0,Non
MC-1129,0.154,Non
MC-1130,0,Non
MC-1131,0.167,Non
MC-1132,0,Non
MC-1133,0.267,Non
MC-1134,0.267,Non
MC-1135,0.286,Non
MC-1136,0.154,Non
MC-1137,0.286,Non
MC-1138,0.167,Non
MC-1139,0.316,Semi
MC-1140,0.154,Non
MC-1141,0.133,Non
MC-1142,0.154,Non
MC-1143,0.167,Non
MC-1144,0.267,Non
MC-1145,0.167,Non
MC-1146,0.286,Non
MC-1147,0.286,Non
MC-1148,0,Non
MC-1149,0,Non
MC-1150,0,Non
MC-1151,0,Non
MC-1152,0.267,Non
MC-1153,0,Non
MC-1154,0,Non
MC-1155,0.286,Non
MC-1156,0.286,Non
MC-1157,0.167,Non
MC-1158,0.286,Non
MC-1159,0,Non
MC-1160,0.267,Non
MC-1161,0.267,Non
MC-1162,0.267,Non
MC-1163,0.267,Non
MC-1164,0,Non
MC-1165,0,Non
MC-1166,0.167,Non
MC-1167,0.286,Non
MC-1168,0,Non
MC-1169,0.154,Non
MC-1170,0.167,Non
MC-1171,0,Non
MC-1172,0,Non
MC-1173,0.267,Non
MC-1174,0,Non
MC-1175,0.267,Non
