ID,Standardise_SMILES,MW,HBA,HBD,cLogP,TPSA,MRS,AR,KI
MC-1982,CC(C)CC1NC(=O)CC(C(=O)NCCN2CCOCC2)NC(=O)c2ccccc2OCCN(C)C1=O,517.627,7,3,0.005,129.31,14,0.644,10.699
MC-1991,CC(O)C1NC(=O)CC(C(=O)NCC2CC2)NC(=O)c2ccccc2OCC(Cc2ccccc2)NC1=O,522.602,6,5,0.687,145.86,14,0.644,8.959
MC-2009,COc1cc(C)c(CNC(=O)CN2CCCCCCOc3ccccc3Oc3ncccc3C2)cc1C(C)C,531.697,6,1,6.386,72.92,14,0,10.198
MC-2012,CC(O)C1NC(=O)CC(C(=O)NCc2ccc(CN3CCCC3=O)cc2)NC(=O)c2ccccc2OCCCNC1=O,579.654,7,5,0.378,166.17,15,0.6,10.492
MC-2015,CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)Cn3ccnc3CC)CCO2)C1=O,496.652,6,0,3.477,76.9,12,0.251,9.017
MC-2035,COCC1CCCN1C(=O)C1CC(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)COc2ccccc2C(=O)N1,564.683,6,3,2.073,126.07,14,0.644,10.347
MC-2039,COCC1CCCN1C(=O)C1CCC(=O)NC(C(C)C)C(=O)N(C)C(Cc2ccccc2)COc2ccccc2C(=O)N1,592.737,6,2,2.806,117.28,15,0.6,11.164
MC-2045,CN1CCOc2ccccc2C(=O)NC(C(=O)NCC2(c3cccc(F)c3)CCOCC2)CC(=O)NC(Cc2ccccc2)C1=O,630.717,6,3,2.757,126.07,14,0.644,10.642
MC-2050,CC(C)N1CC(=O)NCCCCCOc2ccc(CCC(=O)N3CCC(c4ncncc4S(C)(=O)=O)CC3)cc2C1,585.771,8,1,3.108,121.8,13,0.231,10.717
MC-2057,CCC(C)C1NC(=O)CC(C(=O)NCCc2ccc3c(c2)OCCO3)NC(=O)c2ccccc2OCCN(C)C1=O,566.655,7,3,1.687,135.3,14,0.644,10.046
MC-2063,CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CNS(C)(=O)=O)CCO2)C1=O,495.642,6,1,1.567,105.25,12,0.251,9.324
MC-2075,CC(C)C1NC(=O)CC(C(=O)NCCOc2ccc(Cl)cc2)NC(=O)c2ccccc2OCCN(C)C1=O,545.036,6,3,2.015,126.07,14,0.644,10.35
MC-2084,CCCN1CCCCN(S(=O)(=O)c2cc(OC)ccc2OC)C2CCCCC2Oc2ccccc2C1=O,530.687,6,0,4.731,85.38,12,0.251,8.971
MC-2106,CC(C)CC1NC(=O)CC(C(=O)NCC2(c3cccc(F)c3)CCOCC2)NC(=O)c2ccccc2OCCN(C)C1=O,596.7,6,3,2.561,126.07,14,0.644,10.737
MC-2114,CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CCc3c(C)noc3C)CCO2)C1=O,511.663,6,0,4.256,85.11,12,0.251,9.243
MC-2117,CC(C)CC1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)CCn2ccnc2C(C)C)CC(=O)N1,546.112,6,2,4.012,105.56,15,0.401,11.006
MC-2118,CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CCn3cnc4ccccc43)CCO2)C1=O,532.685,6,0,4.458,76.9,12,0.251,8.813
MC-2130,CC1(C)CCCN(CC(=O)NCCc2ccc(S(N)(=O)=O)cc2)Cc2cccnc2Oc2ccccc2OC1,552.697,7,2,3.881,123.85,13,0,9.212
MC-2145,COc1cc(C)c(CNC(=O)CN2CCCC(C)(C)COc3ccccc3Oc3ncccc3C2)cc1C(C)C,545.724,6,1,6.632,72.92,13,0,9.691
MC-2186,CN1C(=O)C2(CC2)NC(=O)CCC(C(=O)NCCc2ccc(F)cc2)NC(=O)c2ccccc2OCC1Cc1ccccc1,600.691,5,3,3.174,116.84,15,0.6,9.571
MC-2187,CC(O)C1NC(=O)CC(C(=O)NCc2ccc(CN3CCCC3=O)cc2)NC(=O)c2ccccc2OCC2CCCN2C1=O,605.692,7,4,0.863,157.38,14,0.644,9.785
MC-2201,CN1CCOc2ccccc2C(=O)NC(C(=O)NCCc2ccc(F)cc2)CC(=O)NC(Cc2ccccc2)C1=O,560.626,5,3,2.251,116.84,14,0.644,10.036
MC-2208,COCC12CCCCN(C(=O)CCOc3ccc(F)cc3)CCOc3ccccc3C(=O)N(CC1)CC2,512.622,5,0,4.555,68.31,15,0.2,9.387
MC-2227,CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3nn(CCC)cc3Cl)CCO2)C1=O,531.097,6,0,4.592,76.9,12,0.251,9.485
MC-2232,CC(C)CC1NC(=O)CC(C(=O)NCCc2cnccn2)NC(=O)c2ccccc2OCCN(C)C1=O,510.595,7,3,0.706,142.62,14,0.644,9.933
MC-2266,CC(O)C1NC(=O)CC(C(=O)NCCCN2CCCC2=O)NC(=O)c2ccccc2OCCN(C)C1=O,517.583,7,4,-0.98,157.38,14,0.644,9.837
MC-2276,O=C(Cc1ccc2c(c1)CN(Cc1ccccc1)CC(=O)NCCCCCO2)NCCO,439.556,5,3,2.019,90.9,13,0.231,9.528
MC-2279,Cc1cc(CNC(=O)Cc2ccc3c(c2)CN(Cc2ccccc2)CC(=O)NCCCCCO3)[nH]n1,489.62,5,3,3.258,99.35,13,0.231,9.103
MC-2287,CC(C)CC1NC(=O)CCC(C(=O)N(C)CCc2ccccc2)NC(=O)c2ccccc2OCCNC1=O,522.646,5,3,2.306,116.84,15,0.6,10.691
MC-2290,CCN(CC)C(=O)CCc1ccc2c(c1)CN(C(C)C)CC(=O)NCCCCCO2,417.594,4,1,3.377,61.88,13,0.231,10.143
MC-2314,CC(C)CC(CO)NC(=O)CN1CCCCCCOc2ccccc2Oc2ncccc2C1,455.599,6,2,4.152,83.92,14,0,9.966
MC-2321,CN1CCOc2ccccc2C(=O)NC(C(=O)NCC(C)(C)c2ccc(F)cc2)CCC(=O)NC(Cc2ccc(O)cc2)C1=O,618.706,6,4,3.082,137.07,15,0.6,10.769
